Unnamed: 0,id,text,Hashtags,date,follower_count
266,1393301278822858752,How Positioned Yourselves the Top Feng Shui Master Singapore #fengshui #singapore #google,"[{'text': 'fengshui', 'indices': [94, 103]}, {'text': 'singapore', 'indices': [104, 114]}, {'text': 'google', 'indices': [115, 122]}]",2021-05-14 20:24:45,8010
267,1393301247025946634,Advanced Aesthetic Clinic #Google,"[{'text': 'Google', 'indices': [29, 36]}]",2021-05-14 20:24:38,207
268,1393301222329888774,Homes LLC #Google,"[{'text': 'Google', 'indices': [15, 22]}]",2021-05-14 20:24:32,2
269,1393301109087817738,looking for the BEST APP FOR FINANCIAL ADVICE Any suggestions #cryptocurrencies #cryptoart #cryptocurrency #Cry,"[{'text': 'cryptocurrencies', 'indices': [90, 107]}, {'text': 'cryptoart', 'indices': [108, 118]}, {'text': 'cryptocurrency', 'indices': [119, 134]}]",2021-05-14 20:24:05,2790
270,1393301034458656777,Google What Can Say #google #googl #stock #tech #internet #goog #technology #epic #monster,"[{'text': 'google', 'indices': [27, 34]}, {'text': 'googl', 'indices': [35, 41]}, {'text': 'stock', 'indices': [42, 48]}, {'text': 'tech', 'indices': [49, 54]}, {'text': 'internet', 'indices': [55, 64]}, {'text': 'goog', 'indices': [65, 70]}, {'text': 'technology', 'indices': [71, 82]}, {'text': 'epic', 'indices': [83, 88]}, {'text': 'monster', 'indices': [89, 97]}]",2021-05-14 20:23:47,204
271,1393300855411990528,Don forget about these Google Map tricks Trust #Android #Google #Facebook,"[{'text': 'Android', 'indices': [79, 87]}, {'text': 'Google', 'indices': [88, 95]}, {'text': 'Facebook', 'indices': [96, 105]}]",2021-05-14 20:23:04,1368
272,1393300855365935106,What expect from Google all virtual #Apps #Hardware #Google #googleio,"[{'text': 'Apps', 'indices': [69, 74]}, {'text': 'Hardware', 'indices': [75, 84]}, {'text': 'Google', 'indices': [85, 92]}, {'text': 'googleio', 'indices': [93, 102]}]",2021-05-14 20:23:04,8275
273,1393300835334041601,you still need file #extension you need hurry meet the tax deadline Check out our free app,"[{'text': 'extension', 'indices': [29, 39]}]",2021-05-14 20:23:00,1120
274,1393300798185091074,DevOps the Federal Government What Means and How Can Help #google #video #amazon daysofcode #infosec #devops,"[{'text': 'google', 'indices': [83, 90]}, {'text': 'video', 'indices': [91, 97]}, {'text': 'amazon', 'indices': [98, 105]}, {'text': '100daysofcode', 'indices': [106, 120]}, {'text': 'infosec', 'indices': [121, 129]}, {'text': 'devops', 'indices': [130, 137]}]",2021-05-14 20:22:51,745
275,1393300793189617669,The Chelsea Bijouterie Ltd #Google,"[{'text': 'Google', 'indices': [30, 37]}]",2021-05-14 20:22:50,2790
276,1393300778140508161,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 20:22:46,651
277,1393300755906371586,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 20:22:41,35718
278,1393300752496398337,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 20:22:40,15344
279,1393300705671323661,Virtual Learning Here Stay for #technology #business #bitcoin #youtube #live daysofcode #nowplaying #security,"[{'text': 'technology', 'indices': [57, 68]}, {'text': 'business', 'indices': [69, 78]}, {'text': 'bitcoin', 'indices': [79, 87]}, {'text': 'youtube', 'indices': [88, 96]}, {'text': 'live', 'indices': [97, 102]}, {'text': '100daysofcode', 'indices': [103, 117]}, {'text': 'nowplaying', 'indices': [118, 129]}, {'text': 'security', 'indices': [130, 139]}]",2021-05-14 20:22:29,745
280,1393300700042612742,Venmo now lets users buy and sell Bitcoin and Ethereum #technology #business #mobile #google #blockchain #youtube #live,"[{'text': 'technology', 'indices': [70, 81]}, {'text': 'business', 'indices': [82, 91]}, {'text': 'mobile', 'indices': [92, 99]}, {'text': 'google', 'indices': [100, 107]}, {'text': 'blockchain', 'indices': [108, 119]}, {'text': 'youtube', 'indices': [120, 128]}, {'text': 'live', 'indices': [129, 134]}]",2021-05-14 20:22:27,745
281,1393300623760711680,Here What the Dreams #Google #ArtificialIntelligence Look Like #fintech #AI #Machi,"[{'text': 'Google', 'indices': [50, 57]}, {'text': 'ArtificialIntelligence', 'indices': [60, 83]}, {'text': 'fintech', 'indices': [120, 128]}, {'text': 'AI', 'indices': [129, 132]}]",2021-05-14 20:22:09,2922
282,1393300598401941506,How the USPS deploying help track packages year #blockchain #youtube #bitcoin #music #twitter #art #live,"[{'text': 'blockchain', 'indices': [79, 90]}, {'text': 'youtube', 'indices': [91, 99]}, {'text': 'bitcoin', 'indices': [100, 108]}, {'text': 'music', 'indices': [109, 115]}, {'text': 'twitter', 'indices': [116, 124]}, {'text': 'art', 'indices': [125, 129]}, {'text': 'live', 'indices': [130, 135]}]",2021-05-14 20:22:03,745
283,1393300535738998785,The news comes after five months internal turmoil sparked #Google firing both leaders its ethics divisio,"[{'text': 'Google', 'indices': [84, 91]}]",2021-05-14 20:21:48,1348
284,1393300451047653378,More Info order now #startup daysofcode #codenewbie #freelancing #introvert #medium #programming,"[{'text': 'startup', 'indices': [57, 65]}, {'text': '100daysofcode', 'indices': [66, 80]}, {'text': 'codenewbie', 'indices': [81, 92]}, {'text': 'freelancing', 'indices': [93, 105]}, {'text': 'introvert', 'indices': [106, 116]}, {'text': 'medium', 'indices': [117, 124]}, {'text': 'programming', 'indices': [125, 137]}]",2021-05-14 20:21:28,353
